3670,4726,7371,4752,3057,1667,6467
7543,2440,5052,0450,0426,7106,7666
0160,5077,2421,3576,0104,1231,6057
6002,0242,6477,0774,4072,0407,4403
6744,5401,7052,6415,2467,4713,7643
3255,1117,4745,3462,4220,2764,3735
2465,6614,4056,2124,6265,3475,0303
0700,5261,5445,6630,7633,4276,1514
2325,3441,4506,1522,0525,2205,2666
0656,2136,5041,7723,7305,4033,5025
3117,2001,4402,6126,4411,2276,7365
4530,6664,7254,4306,5145,4624,0240
4301,2766,7236,1012,7232,1612,1135
1071,7321,1127,0101,0401,3132,6745
3343,3412,4153,7232,6621,6527,5265
6530,5512,3231,1252,3161,7753,4630
3732,3572,1212,2453,6077,5703,5114
4326,0370,1231,3672,1407,4364,3301
2307,0604,3432,2521,4762,6625,4446
0067,3530,3577,3060,1361,6532,6644
6732,5614,6236,5611,1725,0527,4252
5476,5200,2300,2625,4207,5753,5553
0706,5222,7733,4120,5223,6215,5617
2076,0630,1002,3337,4766,0772,3017
2107,6321,0547,3142,4664,4050,6757
7355,1536,7120,2641,1201,2156,5152
3240,7732,0756,2137,4600,5221,6613
7775,5754,0342,6257,3042,2664,2724
6763,1666,2563,4207,1731,4202,2014
4727,6120,6234,0560,2723,7764,5301
4700,3736,1251,4624,4006,6031,3055
1566,4027,5377,6411,1763,2317,0373
2407,5156,3100,5404,7066,3537,6722
7560,1120,3115,0325,7404,6017,4647
6220,1061,3373,0543,1230,4600,6066
6542,4412,5201,6723,1762,5504,0357
6302,3513,3516,4702,4702,7633,0424
0043,6007,0353,3267,5334,7361,6717
7501,4274,1465,4077,3305,2731,2045
3002,4210,7765,4670,4213,1255,1517
5325,1407,6610,3730,2723,5632,1675
3612,7630,2001,7165,7614,3711,2245
5016,1045,0664,5711,3121,3500,1115
3046,5064,7656,1605,2106,3615,7642
7402,4674,3506,1146,7725,4041,7045
3477,7331,4063,4376,4751,2651,3316
7550,3144,5277,4666,4610,6111,7147
6333,7640,1307,6524,1046,2547,4650
7664,0524,7675,5354,6711,4347,5420
2234,6110,7155,7653,0327,3420,5711
3244,2550,3223,3430,7610,3101,4365
1665,3416,6765,6540,1703,4154,0132
5401,1752,3066,1601,3221,4610,1647
0746,4461,6465,6725,1572,1062,3530
7305,4436,6474,5764,6064,0557,6704
1327,4367,5033,6265,3027,5143,2046
7005,3226,1212,6354,3547,4762,3515
4021,6454,5305,1653,1221,7774,0407
5474,7652,0002,1730,3740,5356,2140
2405,3752,2240,3353,3624,1266,7622
5523,3226,5425,6706,1075,5322,1677
7231,2133,7117,1500,5062,7554,2431
4104,4237,6171,0674,4630,4660,6204
6146,3005,7353,6516,5674,1547,5504
7364,1161,0227,7612,4713,5720,5226
3611,3171,2014,2120,1241,6117,6444
3306,7461,0046,5441,7022,4273,1174
5357,7312,7451,6634,5761,6376,1462
6251,0774,3261,6070,7705,7322,5427
7267,2114,6563,4433,0202,5411,4173
6700,4451,6216,7416,2707,0103,0020
3121,5316,3615,3121,5511,3663,5406
4234,2660,7374,6320,4325,7525,5073
0016,3076,6260,3177,4253,0640,0255
4355,7406,4730,6663,5570,3655,7652
5653,6224,0654,1332,7647,4376,6044
3734,5600,3223,1772,1557,2774,3310
2106,5701,4032,1446,7230,1037,5646
6642,7040,6037,3607,2017,0733,4660
5052,5111,1735,5135,7617,0066,1165
7222,5066,7162,3654,7670,1457,5102
6765,2371,2464,1455,0707,0722,4020
6143,6271,4272,5303,6664,5646,0174
2666,3316,4543,5673,3134,6450,2024
3047,1321,2721,3774,3040,2365,3311
2355,4046,7353,6776,7610,3277,3433
5501,7250,7142,0504,4533,3603,7245
7733,0235,4032,4231,3731,5047,2602
7661,5534,3614,7353,7032,6711,3546
5311,7750,2457,0031,7723,3467,2440
0213,0066,2051,3073,1732,4117,5143
4466,6563,1412,5360,0242,1021,3406
6634,1170,0552,1307,2147,4574,5262
4705,7202,1645,4760,0310,4577,3443
7575,1565,4746,5556,2617,2463,2774
5030,4460,6561,4433,7025,5136,7731
3762,0160,4200,2567,4071,7052,5010
2621,6344,7562,7566,2222,4716,6616
4065,3147,3772,3307,0520,3725,6607
7251,7213,3300,2573,5173,6107,2765
